"R0000100","R0002300","R0385200","R0543950","R0682100"
1,2,1,-5,-5
2,2,3,1,1
3,1,1,1,-5
4,1,1,1,-5
5,1,1,1,1
6,1,1,1,-5
7,1,1,1,2
8,1,1,1,1
9,1,8,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,3,1
14,1,-5,1,-5
15,1,1,1,1
16,2,1,1,1
17,1,4,1,1
18,1,1,1,1
19,1,1,1,1
20,1,-5,1,1
21,1,1,-5,-5
22,1,1,1,1
23,1,1,1,1
24,1,1,1,1
25,1,1,1,-5
26,1,1,1,1
27,1,-5,-5,-5
28,1,-5,-5,-5
29,1,1,1,1
30,1,1,1,1
31,1,1,3,-5
32,1,1,1,1
33,1,-5,-5,-5
34,1,1,1,1
35,1,1,1,1
36,1,-5,1,1
37,1,1,1,-5
38,1,-5,2,1
39,1,1,1,1
40,1,1,3,1
41,1,-5,3,1
42,1,-5,-5,-5
43,1,-5,-5,-5
44,2,-5,-5,-5
45,1,-5,-5,-5
46,1,1,-5,1
47,1,1,1,-5
48,2,1,1,1
49,2,1,1,1
50,2,1,-5,-5
51,2,-5,-5,-5
52,2,1,-5,1
53,1,4,1,1
54,1,1,1,1
55,1,1,1,-5
56,1,-5,-5,-5
57,1,1,-5,-5
58,2,1,-5,1
59,2,-5,-5,-5
60,2,1,-5,-5
61,2,8,1,3
62,1,3,1,1
63,1,1,1,1
64,1,1,1,1
65,2,8,-5,-5
66,2,8,-5,-5
67,2,1,-5,-5
68,3,1,3,-5
69,2,8,8,-5
70,2,-5,-5,-5
71,2,-5,-5,-5
72,2,-5,-5,-5
73,2,-5,-5,-5
74,2,2,-5,-5
75,2,-5,-5,-5
76,3,1,-5,-5
77,3,6,1,-5
78,2,1,-5,-5
79,2,3,1,-5
80,1,1,1,-5
81,1,1,1,3
82,1,1,1,1
83,1,1,1,2
84,2,1,-5,3
85,2,-5,-5,-5
86,2,-5,-5,-5
87,2,1,1,1
88,2,-5,-5,-5
89,2,1,-5,-5
90,1,4,1,1
91,1,1,1,1
92,1,-5,1,1
93,1,1,1,1
94,1,-5,-5,-5
95,1,-5,-5,1
96,1,1,-5,-5
97,1,1,1,1
98,2,-5,1,1
99,2,1,1,-5
100,2,-5,-5,-5
101,2,1,-5,-5
102,2,1,1,1
103,2,1,-5,-5
104,2,8,8,8
105,1,-5,-5,-5
106,1,1,-5,-5
107,1,-5,1,3
108,1,1,1,1
109,1,1,-5,-5
110,1,1,1,1
111,1,1,1,1
112,1,1,1,-5
113,1,1,-5,-5
114,1,1,1,1
115,1,1,1,1
116,1,1,1,1
117,2,-5,-5,-5
118,2,-5,-5,-5
119,1,1,1,1
120,1,1,-5,-5
121,1,1,3,-5
122,2,8,-5,-5
123,2,4,-5,-5
124,2,-5,-5,-5
125,2,1,1,1
126,2,1,-5,-5
127,1,1,1,1
128,1,-5,-5,-5
129,1,1,1,1
130,1,1,-5,-5
131,1,1,3,-5
132,1,1,1,1
133,1,1,1,1
134,1,1,1,1
135,1,1,1,1
136,1,1,1,1
137,1,1,1,1
138,1,1,1,4
139,1,1,1,1
140,1,-5,-5,-5
141,1,-5,3,1
142,1,-5,1,1
143,2,-5,-5,-5
144,1,4,1,1
145,2,-5,-5,-5
