"R0000100","R0002300","R0365500","R0385200","R0530300","R0543950","R0587700","R0635500","R0682100"
1,2,7200,1,-5,-5,-5,-5,-5
2,2,4050,3,8501,1,10000,14000,1
3,1,7500,1,10000,1,1320,16000,-5
4,1,17000,1,24500,1,-5,-5,-5
5,1,0,1,1000,1,-5,0,1
6,1,9595,1,14400,1,17640,-5,-5
7,1,3200,1,9800,1,8100,9000,2
8,1,10500,1,13800,1,15500,21000,1
9,1,3500,8,12000,1,15000,15000,1
10,1,5200,1,6500,1,9000,8200,1
11,1,5200,1,9500,1,10900,8500,1
12,1,660,1,5000,1,1560,13000,1
13,1,3960,1,4000,3,7500,12000,1
14,1,-5,-5,7200,1,-5,-5,-5
15,1,8000,1,4000,1,8000,11700,1
16,2,12000,1,22500,1,27000,28500,1
17,1,400,4,-1,1,-4,-1,1
18,1,11000,1,1500,1,20000,0,1
19,1,8000,1,8100,1,0,0,1
20,1,-5,-5,12000,1,15500,18000,1
21,1,10000,1,-5,-5,-5,-5,-5
22,1,8000,1,4000,1,5000,5000,1
23,1,10000,1,8000,1,1200,12980,1
24,1,3000,1,6000,1,15000,26000,1
25,1,12000,1,13500,1,-5,-5,-5
26,1,20000,1,27000,1,33000,47000,1
27,1,-5,-5,-5,-5,-5,-5,-5
28,1,-5,-5,-5,-5,-5,-5,-5
29,1,8200,1,16000,1,18000,22500,1
30,1,12500,1,16000,1,20000,27000,1
31,1,6500,1,7000,3,10400,10000,-5
32,1,8500,1,14400,1,18000,20000,1
33,1,-5,-5,-5,-5,-5,-5,-5
34,1,2000,1,0,1,800,18200,1
35,1,13000,1,17000,1,16800,20800,1
36,1,-5,-5,1800,1,7500,8000,1
37,1,4300,1,23000,1,-5,-5,-5
38,1,-5,-5,9360,2,9000,12000,1
39,1,9500,1,12400,1,14000,21000,1
40,1,2000,1,0,3,12000,22000,1
41,1,-5,-5,0,3,0,12000,1
42,1,-5,-5,-5,-5,-5,-5,-5
43,1,-5,-5,-5,-5,-5,-5,-5
44,2,-5,-5,-5,-5,-5,-5,-5
45,1,-5,-5,-5,-5,-5,-5,-5
46,1,7000,1,-5,-5,300,-5,1
47,1,6500,1,5200,1,-5,-5,-5
48,2,8000,1,9500,1,0,-5,1
49,2,8000,1,11000,1,9000,12000,1
50,2,2940,1,-5,-5,-5,-5,-5
51,2,-5,-5,-5,-5,-5,-5,-5
52,2,6000,1,-5,-5,-5,-5,1
53,1,1400,4,13000,1,18000,24000,1
54,1,10000,1,12000,1,20000,-5,1
55,1,6500,1,0,1,-5,-5,-5
56,1,-5,-5,-5,-5,-5,-5,-5
57,1,2000,1,-5,-5,-5,-5,-5
58,2,9000,1,-5,-5,-5,-5,1
59,2,-5,-5,-5,-5,-5,-5,-5
60,2,6000,1,-5,-5,-5,-5,-5
61,2,3000,8,4836,1,-4,-4,3
62,1,5000,3,30000,1,31000,41000,1
63,1,8000,1,9000,1,17000,20000,1
64,1,15000,1,23000,1,28000,32200,1
65,2,1500,8,-5,-5,-5,-5,-5
66,2,0,8,-5,-5,-5,-5,-5
67,2,4500,1,-5,-5,-5,-5,-5
68,3,7000,1,8861,3,-5,-5,-5
69,2,0,8,0,8,0,0,-5
70,2,-5,-5,-5,-5,-5,-5,-5
71,2,-5,-5,-5,-5,-5,-5,-5
72,2,-5,-5,-5,-5,-5,-5,-5
73,2,-5,-5,-5,-5,-5,-5,-5
74,2,0,2,-5,-5,-5,-5,-5
75,2,-5,-5,-5,-5,-5,-5,-5
76,3,4400,1,-5,-5,-5,-5,-5
77,3,0,6,8000,1,8000,8500,-5
78,2,10000,1,-5,-5,-5,-5,-5
79,2,3000,3,2000,1,-5,-5,-5
80,1,22000,1,25000,1,-5,-5,-5
81,1,5000,1,10000,1,11000,11000,3
82,1,9000,1,17000,1,22000,26500,1
83,1,9000,1,10000,1,12000,12000,2
84,2,7000,1,-5,-5,5000,13000,3
85,2,-5,-5,-5,-5,-5,-5,-5
86,2,-5,-5,-5,-5,-5,-5,-5
87,2,3848,1,12000,1,8000,-5,1
88,2,-5,-5,-5,-5,-5,-5,-5
89,2,3400,1,-5,-5,-5,-5,-5
90,1,1000,4,7500,1,11600,15000,1
91,1,5100,1,18000,1,21000,26000,1
92,1,-5,-5,14000,1,17000,19000,1
93,1,4500,1,17000,1,17500,23000,1
94,1,-5,-5,-5,-5,-5,-5,-5
95,1,-5,-5,-5,-5,4000,3200,1
96,1,19999,1,-5,-5,-5,-5,-5
97,1,5000,1,8300,1,0,0,1
98,2,-5,-5,1900,1,28600,30000,1
99,2,3500,1,0,1,0,-5,-5
100,2,-5,-5,-5,-5,-5,-5,-5
101,2,-4,1,-5,-5,-5,-5,-5
102,2,6700,1,5000,1,6000,6000,1
103,2,8000,1,-5,-5,-5,-5,-5
104,2,800,8,0,8,0,260,8
105,1,-5,-5,-5,-5,-5,-5,-5
106,1,9000,1,-5,-5,-5,-5,-5
107,1,-5,-5,8000,1,11000,18000,3
108,1,3000,1,15000,1,20000,26630,1
109,1,6000,1,-5,-5,-5,-5,-5
110,1,7800,1,12000,1,14000,19000,1
111,1,7000,1,11000,1,13000,20000,1
112,1,3500,1,12300,1,-5,-5,-5
